A000360,H001071,0.92793
A000368,B001277,0.99999
A000368,D000563,0.99999
A000368,D000607,0.99999
A000368,F000463,0.99828
A000368,G000386,0.99999
A000368,H000206,0.99757
A000368,H001076,0.99998
A000368,K000367,0.99999
A000368,L000174,1.00000
A000368,M000133,0.99999
A000368,M001170,0.99863
A000368,S000033,1.00000
A000368,W000817,1.00000
B000575,B001236,0.92949
B000575,E000295,0.86273
B000575,M000639,0.98794
B000575,R000605,0.86065
B000575,S000148,0.98336
B000944,B001230,0.99354
B000944,B001288,0.94779
B000944,H001042,0.90803
B000944,L000123,0.90224
B001135,E000295,0.85703
B001135,R000605,0.91211
B001135,T000461,0.94870
B001230,B001288,0.95366
B001230,H001042,0.91341
B001230,L000123,0.90755
B001236,H001069,0.86847
B001236,J000291,0.86047
B001236,M000639,0.94014
B001236,S000148,0.91512
B001261,C000880,1.00000
B001261,R000584,1.00000
B001261,W000818,0.99994
B001277,D000563,1.00000
B001277,D000607,0.99998
B001277,F000463,0.99828
B001277,G000386,1.00000
B001277,H000206,0.99756
B001277,H001076,0.99997
B001277,K000367,1.00000
B001277,L000174,1.00000
B001277,M000133,1.00000
B001277,M001170,0.99862
B001277,S000033,0.99999
B001277,W000817,0.99999
B001288,H001042,0.95578
B001288,L000123,0.94936
B001288,M000702,0.86023
C000141,C000567,0.85876
C000141,P000595,0.90672
C000174,N000032,0.87550
C000286,I000024,0.99243
C000286,R000595,0.86370
C000286,S001197,0.85009
C000560,C000567,0.92013
C000560,C001075,0.86269
C000560,E000285,0.99982
C000560,I000055,0.99997
C000560,K000393,0.91563
C000560,M000355,0.99998
C000560,P000449,0.99996
C000560,R000307,0.99997
C000560,S001184,0.99997
C000560,W000437,0.91038
C000567,E000285,0.92014
C000567,I000055,0.92013
C000567,K000393,0.88783
C000567,M000355,0.92013
C000567,P000449,0.92013
C000567,R000307,0.92013
C000567,S001184,0.92013
C000567,W000437,0.88420
C000880,R000584,0.99999
C000880,W000818,0.99993
C001035,C001047,1.00000
C001035,C001070,0.99999
C001035,C001088,1.00000
C001035,F000457,0.99999
C001035,G000555,1.00000
C001035,M001169,1.00000
C001035,R000122,0.99998
C001035,S000770,0.99999
C001035,S001194,0.87552
C001047,C001070,0.99999
C001047,C001088,1.00000
C001047,F000457,0.99999
C001047,G000555,1.00000
C001047,M001169,1.00000
C001047,R000122,0.99998
C001047,S000770,0.99999
C001047,S001194,0.87552
C001056,C001095,0.89584
C001056,T000476,0.94706
C001056,V000128,0.89956
C001070,C001088,0.99999
C001070,F000457,1.00000
C001070,G000555,0.99999
C001070,M001169,0.99999
C001070,R000122,0.99999
C001070,S000770,1.00000
C001070,S001194,0.87552
C001071,C001098,0.87330
C001071,F000062,0.87330
C001071,G000359,0.87330
C001071,J000293,0.87330
C001071,L000261,0.87331
C001071,P000612,0.87330
C001071,S001141,0.87330
C001075,E000285,0.86271
C001075,I000055,0.86269
C001075,M000355,0.86269
C001075,N000032,0.90508
C001075,P000449,0.86269
C001075,P000590,0.88056
C001075,R000307,0.86269
C001075,S001184,0.86269
C001088,F000457,0.99999
C001088,G000555,1.00000
C001088,M001169,1.00000
C001088,R000122,0.99998
C001088,S000770,0.99999
C001088,S001194,0.87552
C001095,T000476,0.91232
C001098,F000062,1.00000
C001098,G000359,1.00000
C001098,J000293,0.99999
C001098,L000261,0.99996
C001098,P000612,1.00000
C001098,S001141,0.99999
D000563,D000607,0.99999
D000563,F000463,0.99828
D000563,G000386,1.00000
D000563,H000206,0.99756
D000563,H001076,0.99997
D000563,K000367,1.00000
D000563,L000174,1.00000
D000563,M000133,1.00000
D000563,M001170,0.99862
D000563,S000033,1.00000
D000563,W000817,1.00000
D000607,F000463,0.99829
D000607,G000386,0.99999
D000607,H000206,0.99757
D000607,H001076,0.99999
D000607,K000367,0.99999
D000607,L000174,0.99999
D000607,M000133,0.99998
D000607,M001170,0.99864
D000607,S000033,0.99999
D000607,W000817,0.99999
E000285,I000055,0.99979
E000285,K000393,0.91564
E000285,M000355,0.99979
E000285,P000449,0.99978
E000285,R000307,0.99979
E000285,S001184,0.99979
E000285,W000437,0.91039
E000295,M000639,0.85566
E000295,R000605,0.90334
E000295,S000148,0.87225
E000295,T000461,0.88650
F000062,G000359,1.00000
F000062,J000293,0.99999
F000062,L000261,0.99996
F000062,P000612,1.00000
F000062,S001141,0.99999
F000457,G000555,0.99999
F000457,M001169,0.99999
F000457,R000122,0.99999
F000457,S000770,1.00000
F000457,S001194,0.87552
F000463,G000386,0.99828
F000463,H000206,0.99928
F000463,H001076,0.99830
F000463,K000367,0.99828
F000463,L000174,0.99828
F000463,M000133,0.99827
F000463,M001170,0.99965
F000463,S000033,0.99828
F000463,W000817,0.99828
G000359,J000293,1.00000
G000359,L000261,0.99996
G000359,P000612,1.00000
G000359,S001141,0.99999
G000386,H000206,0.99756
G000386,H001076,0.99997
G000386,K000367,1.00000
G000386,L000174,1.00000
G000386,M000133,1.00000
G000386,M001170,0.99862
G000386,S000033,1.00000
G000386,W000817,1.00000
G000555,M001169,1.00000
G000555,R000122,0.99998
G000555,S000770,0.99999
G000555,S001194,0.87552
H000206,H001076,0.99759
H000206,K000367,0.99756
H000206,L000174,0.99756
H000206,M000133,0.99756
H000206,M001170,0.99894
H000206,S000033,0.99757
H000206,W000817,0.99756
H001042,L000123,0.99296
H001042,M000702,0.89570
H001042,S001181,0.85354
H001069,J000291,0.98925
H001069,P000590,0.91871
H001069,V000127,0.87206
H001076,K000367,0.99997
H001076,L000174,0.99998
H001076,M000133,0.99997
H001076,M001170,0.99865
H001076,S000033,0.99998
H001076,W000817,0.99998
I000024,R000595,0.86939
I000024,S001197,0.85560
I000055,K000393,0.91563
I000055,M000355,0.99999
I000055,P000449,1.00000
I000055,R000307,1.00000
I000055,S001184,1.00000
I000055,W000437,0.91038
J000177,M001111,0.93029
J000177,S001194,0.91531
J000291,P000590,0.92750
J000291,V000127,0.87355
J000293,L000261,0.99997
J000293,P000612,0.99999
J000293,S001141,0.99999
K000367,L000174,1.00000
K000367,M000133,1.00000
K000367,M001170,0.99862
K000367,S000033,0.99999
K000367,W000817,1.00000
K000393,M000355,0.91563
K000393,P000449,0.91563
K000393,R000307,0.91563
K000393,S001184,0.91563
K000393,W000437,0.88142
L000123,M000702,0.90141
L000123,S001181,0.85870
L000174,M000133,1.00000
L000174,M001170,0.99862
L000174,S000033,1.00000
L000174,W000817,1.00000
L000261,P000612,0.99996
L000261,S001141,0.99997
M000133,M001170,0.99862
M000133,S000033,0.99999
M000133,W000817,0.99999
M000355,P000449,0.99999
M000355,R000307,0.99999
M000355,S001184,0.99999
M000355,W000437,0.91038
M000639,R000605,0.85176
M000639,S000148,0.97170
M000702,S001181,0.94748
M001111,S001194,0.85677
